index,OBJECTID,Project_code,Project_name,Corridor_name,Infrastructure_development_type,Status,Country,Region_or_province,Description,Launch_year,USD_amount__Million__Minimum,USD_amount__Million__Maximum,Amount_description,Distance__km__Minimum,Distance__km__Maximum,GIS_distance,Area__Km2_,Supplier_or_recipient_of_goods_or_services,Key_beneficiaries,Commodities_traded_or_transported,Name_of_donors_or_financiers,Amount_funded__USD_millions__per_donor_type,Type_of_major_donors_or_financiers,geometry,index_right,iso3,name,FeatureUID,DsgAttr01,FeatureNam,NameVar,FeatureTyp,Latitude,Longitude,LocConfid,DsgAttr02,DsgAttr03,DsgAttr04,DsgAttr05,DsgAttr06,DsgAttr07,DsgAttr08,OperateNam,OwnerName,Website,DsgAttr09,Label1,LocSource1,InfSource1,ADM1,DsgAttr10,id,Continent_Code,infra,matches
70,,,,,,,Egypt,,,,,,,,,,,,,,,,,POINT (33.17281 28.94285000000001),15.0,EGY,Ras Badran Oil Terminal_Egypt,EGp11,EGp11a,Ras Badran Oil Terminal,<Null>,Oil and Gas Terminal,28.94285,33.17281,E,N,Oil and Gas Products,Crude Oil,-999.0,NA,<Null>,<Null>,Suez Oil Co. (SUCO),Suez Oil Co (SUCO),<Null>,<Null>,EGp11,"NGA-WPI-Pub150, Google Maps","NGA-WPI-Pub150, EGp021",Janub Sina' (South Sinai),48025,port1443,AF,port,Y
71,,,,,,,Egypt,,,,,,,,,,,,,,,,,POINT (33.11162 28.331699999999998),15.0,EGY,Ras Gharib_Egypt,EGp12,EGp12a,Ras Gharib,<Null>,Oil and Gas Terminal,28.3317,33.11162,E,N,Oil and Gas Products,Crude Oil,-999.0,NA,<Null>,<Null>,Egyptian General Petroleum Corporation (EGPC),Egyptian General Petroleum Corporation (EGPC),<Null>,<Null>,EGp12,"NGA-WPI-Pub150, Google Maps","NGA-WPI-Pub150, EGp020",Al Bahr al Ahmar (Red Sea),48020,port1444,AF,port,Y
72,,,,,,,Egypt,,,,,,,,,,,,,,,,,POINT (33.278544999999994 28.13480899999999),15.0,EGY,Ras Shukhier_Egypt,EGp13,EGp13a,Ras Shukhier,<Null>,Oil and Gas Terminal,28.134809,33.278545,E,N,Oil and Gas Products,"Crude Oil, Liquefied Petroleum Gas (LPG)",-999.0,NA,<Null>,<Null>,Egyptian General Petroleum Corporation (EGPC),Egyptian General Petroleum Corporation (EGPC),<Null>,<Null>,EGp13,"NGA-WPI-Pub150, Google Maps","NGA-WPI-Pub150, EGp019",Al Bahr al Ahmar (Red Sea),48015,port1445,AF,port,Y
73,,,,,,,Egypt,,,,,,,,,,,,,,,,,POINT (29.67038 31.054250000000007),15.0,EGY,Sidi Kerir_Egypt,EGp14,EGp14a,Sidi Kerir,Kurayr,Oil and Gas Terminal,31.05425,29.67038,E,N,Oil and Gas Products,Liquefied Bulk Petroleum,-999.0,NA,<Null>,Ain Sukhna Terminal via Suez Mediterranean Pipeline (Sumed),Arab Petroleum Pipelines Co. (SUMED),Egyptian General Petroleum Corporation (EGPC),http://www.sumed.org/,Europe,EGp14,"NGA-WPI-Pub150, Google Maps","NGA-WPI-Pub150, EGp007, EGp008, EGp016",Al Iskandariyah (Alexandria),45172,port1446,AF,port,Y
74,,,,,,,Egypt,,,,,,,,,,,,,,,,,POINT (33.22097 28.734200000000005),15.0,EGY,Wadi Feiran_Egypt,EGp15,EGp15a,Wadi Feiran,<Null>,Oil and Gas Terminal,28.7342,33.22097,E,N,Oil and Gas Products,Crude Oil,-999.0,NA,<Null>,<Null>,Zeitco,Egyptian General Petroleum Corporation (EGPC),http://www.sumed.org/,<Null>,EGp15,"NGA-WPI-Pub150, Google Maps","NGA-WPI-Pub150, EGp015",Janub Sina' (South Sinai),48065,port1447,AF,port,Y
75,,,,,,,Egypt,,,,,,,,,,,,,,,,,POINT (33.583453999999996 27.837162000000003),15.0,EGY,Zeit Bay Terminal_Egypt,EGp16,EGp16a,Zeit Bay Terminal,<Null>,Oil and Gas Terminal,27.837162,33.583454,E,N,Oil and Gas Products,Crude Oil,-999.0,NA,<Null>,Matr-1Xst Well Operated in the North Zeit Bay Psc Area,Zeitco,Suez Oil Co (SUCO),<Null>,<Null>,EGp16,"NGA-WPI-Pub150, Google Maps","NGA-WPI-Pub150, EGp014, EGp015",Al Bahr al Ahmar (Red Sea),47985,port1448,AF,port,Y
87,,,,,,,Gabon,,,,,,,,,,,,,,,,,POINT (8.714313000000002 -0.63079),20.0,GAB,Cap Lopez_Gabon,GAp01,GAp01a,Cap Lopez,<Null>,Oil and Gas Terminal,-0.63079,8.714313,E,N,Oil and Gas Products,Oil (Unspecified),-999.0,NA,<Null>,<Null>,Total Gabon,Total,https://www.total.com/gabon,<Null>,GAp1,"NGA-WPI-Pub150, Google Maps","NGA-WPI-Pub150, GAp004",Ogooué-Maritime,46445,port1449,AF,port,Y
104,,,,,,,Guinea-Bissau,,,,,,,,,,,,,,,,,POINT (-14.998924 11.586797999999998),24.0,GNB,Buba_Guinea-Bissau,GWp01,GWp01a,Buba,<Null>,Bulk Commodities Port,11.586798,-14.998924,A,N,Aluminum,Bauxite,-999.0,NA,<Null>,Boe Region,Sociedade Mineira de Investimentos Bauxite Angola,Sociedade Mineira de Investimentos Bauxite Angola,<Null>,<Null>,GWp1,Google Earth,"GWp001, GWp002",Quinara,N/A,port1450,AF,port,Y
105,,,,,,,Kenya,,,,,,,,,,,,,,,,,POINT (40.89999999999999 -2.266667000000001),25.0,KEN,Lamu_Kenya,KEp01,KEp01a,Lamu,<Null>,Oil and Gas Terminal,-2.266667,40.9,A,N,Oil and Gas Products,Crude Oil,-999.0,NA,<Null>,<Null>,<Null>,Kenya Ports Authority,https://kpa.co.ke/AboutUs/Pages/default.aspx,<Null>,KEp1,"NGA-WPI-Pub150, Google Maps","NGA-WPI-Pub150, KEp005",Lamu,47110,port1451,AF,port,Y
121,,,,,,,Libya,,,,,,,,,,,,,,,,,POINT (18.366433999999998 30.63543),28.0,LBY,As Sidra_Libya,LYp02,LYp02a,As Sidra,As Sidrah,Oil and Gas Terminal,30.63543,18.366434,E,N,Oil and Gas Products,Crude Oil,80.0,Thousand barrels per day,<Null>,<Null>,Waha Oil Company,Waha Oil Company,https://www.wahaoil.ly/en/brief-on-waha-oil-company/,<Null>,LYp2,"NGA-WPI-Pub150, Google Maps","NGA-WPI-Pub150, LYp008",Surt,45297,port1452,AF,port,Y
130,,,,,,,Libya,,,,,,,,,,,,,,,,,POINT (18.583522 30.489162),28.0,LBY,Ras Lanuf_Libya,LYp07,LYp07a,Ras Lanuf,<Null>,Oil and Gas Terminal,30.489162,18.583522,E,Y,Oil and Gas Products,"Crude Oil, Refined Oil Products",-999.0,NA,<Null>,"Amal and Ghani and Tibisti Fields, Rasco Refinery",Harouge Oil Operations,Harouge Oil Operations,https://www.vebalibya.com/e<Null>bout-us,<Null>,LYp7,"NGA-WPI-Pub150, Google Maps","NGA-WPI-Pub150, LYp009",Surt,45296,port1453,AF,port,Y
140,,,,,,,Madagascar,,,,,,,,,,,,,,,,,POINT (46.996049 -25.027801),29.0,MDG,Tôlanaro_Madagascar,MGp04,MGp04a,Tôlanaro,Tolagnaro,General Cargo Port,-25.027801,46.996049,E,Y,Graphite,High-Quality Flake Graphite,-999.0,NA,<Null>,Molo Graphite Mine,NextSource Materials Inc.,Tolagnaro Port Authority,<Null>,<Null>,MGp4,"NGA-WPI-Pub150, Google Maps","NGA-WPI-Pub150, MRp006",Toliary,47470,port1454,AF,port,Y
172,,,,,,,Morocco,,,,,,,,,,,,,,,,,POINT (-6.654793 34.267018),34.0,MAR,Kenitra_Morocco,MAp04,MAp04a,Kenitra,Port of Kenitra-Mehdia,Bulk Commodities Port,34.267018,-6.654793,E,N,Scrap Metal,Dry Bulk Cargo,-999.0,NA,<Null>,<Null>,<Null>,Societe d'Exploitation des Ports SA (SODEP),https://www.marsamaroc.co.ma,<Null>,MAp4,"NGA-WPI-Pub150, Google Maps","NGA-WPI-Pub150, MAp002, MAp011",Gharb - Chrarda - Béni Hssen,45785,port1455,AF,port,Y
206,,,,,,,Mozambique,,,,,,,,,,,,,,,,,POINT (36.87962699999999 -17.879888999999995),35.0,MOZ,Quelimane_Mozambique,MZp05,MZp05a,Quelimane,<Null>,Bulk Commodities Port,-17.879889,36.879627,E,N,Coal,Unspecified,-999.0,NA,<Null>,<Null>,Cornelder Quelimane CQ,"Portos e Caminhos de Ferro de Moçambique, E.P.",https://www.cfm.co.mz/index.php/pt/,<Null>,MZp5,"NGA-WPI-Pub150, Google Maps","NGA-WPI-Pub150, MZp009, MZp013",Zambezia,46910,port1456,AF,port,Y
211,,,,,,,Nigeria,,,,,,,,,,,,,,,,,POINT (3.393549 6.435905),38.0,NGA,Port of Apapa_Nigeria,NGp01,NGp01a,Port of Apapa,Apapa Quays,Bulk Commodities Port,6.435905,3.393549,E,N,Cement,Containerized,230.0,Metric tons,<Null>,Ashakacem Plc,APM Terminals,Nigerian Ports Authority,https://nigerianports.gov.ng/,<Null>,NGp1,Google Earth,NGp014,Lagos,N/A,port1457,AF,port,Y
213,,,,,,,Nigeria,,,,,,,,,,,,,,,,,POINT (5.195440999999999 5.607665000000001),38.0,NGA,Escravos Oil Terminal_Nigeria,NGp03,NGp03a,Escravos Oil Terminal,<Null>,Oil and Gas Terminal,5.607665,5.195441,E,N,Oil and Gas Products,"Crude Oil, Refined Oil Products, Liquefied Natural Gas (LNG)",2600.0,Thousand barrels,<Null>,<Null>,Chevron Nigeria Ltd.,Chevron Nigeria Ltd.,https://www.chevron.com/,<Null>,NGp3,"NGA-WPI-Pub150, Google Earth","NGA-WPI-Pub150, NGp004",Delta,46135,port1458,AF,port,Y
214,,,,,,,Nigeria,,,,,,,,,,,,,,,,,POINT (5.352151 5.349900999999998),38.0,NGA,Forcados_Nigeria,NGp04,NGp04a,Forcados,<Null>,Oil and Gas Terminal,5.349901,5.352151,E,N,Oil and Gas Products,Crude Oil,240.0,Thousand barrels per day,<Null>,The Trans Forcados Pipeline (Tfp),Shell Petroleum Development Co. of Nigeria Ltd. (SPDC),Nigerian Ports Authority,<Null>,<Null>,NGp4,"NGA-WPI-Pub150, Google Earth","NGA-WPI-Pub150, NGp004, NGp025, NGp028",Delta,46160,port1459,AF,port,Y
216,,,,,,,Nigeria,,,,,,,,,,,,,,,,,POINT (3.392483 6.4115579999999985),38.0,NGA,Lagos_Nigeria,NGp06,NGp06a,Lagos,Premiere Port (Apapa Quays),Oil and Gas Terminal,6.411558,3.392483,E,N,Oil and Gas Products,Oil (Unspecified),-999.0,NA,<Null>,<Null>,Bolloré Ports,Nigerian Ports Authority,https://nigerianports.gov.ng/,<Null>,NGp6,"NGA-WPI-Pub150, Google Earth","NGA-WPI-Pub150, NGp013",Lagos,46130,port1460,AF,port,Y
217,,,,,,,Nigeria,,,,,,,,,,,,,,,,,POINT (7.086621999999999 4.719393999999999),38.0,NGA,Okrikra_Nigeria,NGp07,NGp07a,Okrikra,<Null>,Oil and Gas Terminal,4.719394,7.086622,E,N,"Oil and Gas Products, Refined","Diesel, Fuel Oil, Liquefied Petroleum Gas (LPG) and Dual Purpose Kerosene (DPK)",-999.0,NA,<Null>,Alesa-Eleme Oil Refinery,<Null>,Nigerian Ports Authority,https://nigerianports.gov.ng/,<Null>,NGp7,"NGA-WPI-Pub150, Google Earth","NGA-WPI-Pub150, NGp020, NGp021",Rivers,46207,port1461,AF,port,Y
243,,,,,,,Sierra Leone,,,,,,,,,,,,,,,,,POINT (-12.501202999999999 7.530283),44.0,SLE,Bonthe_Sierra Leone,SLp01,SLp01a,Bonthe,<Null>,Bulk Commodities Port,7.530283,-12.501203,A,N,Mineral Sands,"Rutile, Ilmenite Concentrate, Zircon Concentrate",-999.0,NA,<Null>,Operations at Lanti and Gangama,Sierra Rutile,Sierra Leone Ports Authority,https://www.ncpsl.gov.sl/slpa/,<Null>,SLp1,"NGA-WPI-Pub150, Google Maps","NGA-WPI-Pub150, SLp003, SLp004, SLp005",Southern,45867,port1462,AF,port,Y
